,TIER,SUMMONERID,SUMMONERNAME,LEAGUEPOINTS,WINS,LOSSES,VETERAN,INACYIVE,FRESHBLOOD,HOTSTREAK
104,GRANDMASTER,NqMZkXetmxIB5t9Tr8G51bscJTFGmeYk2FkUl2KF0CdPp-0,GoYounha fan,508,284,231,0,0,1,0
105,GRANDMASTER,Phe6UOx8iuYgU_x6aHBwRc5dPrp_4CJQ4RmQp6SlmzKiSG8,1000원짜리변호사,759,197,170,0,0,1,1
106,GRANDMASTER,cWNTtuP1TtLnQRsVXbUJq2N_so-rYy-3XE0am5spWzfbPZPP3MoGCFmZDw,성진우 fan,723,254,222,0,0,0,0
107,GRANDMASTER,EAPyBoTi-rssSy3r5MGwujCWcpV-aKS53k-Qly7VRZHQyNg,깜찍이4,585,251,235,0,0,0,0
108,GRANDMASTER,O5K61v6aShDUj5Oozbg9uwbNCeJXwdYSWzTsrhYTcXnt6qU,FA NaKyung,897,175,138,0,0,1,0
109,GRANDMASTER,9tWY7fA3iecezVR10EtE5yDnI_WfgiQU4MTMSV5gpR-uC6mu,Gamin,686,345,320,1,0,0,0
110,GRANDMASTER,VxpBzcnZbL-NUGo6Xzv7Wt-PbLGlw7rmLlEHbUdK_negnBs,1처형 900골드,614,214,189,0,0,1,1
111,GRANDMASTER,uSfsFAvs5apqeSQlN7VK0cItyJjLq0h98cQJLI14mD2o1AM,표표성재,647,130,101,0,0,1,1
112,GRANDMASTER,-ptp3XL0Jbzuky8EtK7o745BGJi_Nbx7BSQSHG0lS5X6nQs,GIGA BONER,723,358,318,0,0,1,1
113,GRANDMASTER,gP8L2FT_UTKaH4xR8RaPQlI9-Sb2AEajbc5EK0PUHrdCiJc,좋은하루좋은아침,857,363,335,0,0,1,0
114,GRANDMASTER,YOeEW-3JHlgNB-DIGfnLbtinwJCdvW9RkD9smxVa_QKB2aIOvuBInCtpCg,Reply 2 This,762,526,491,0,0,0,1
115,GRANDMASTER,1e_YMCHrsBYWmJ4zyyb42XynwpmZnwNUxwUOnpfH3hgxipS31SfR5Lxgfg,마음이 피곤하다,870,348,314,0,0,1,0
116,GRANDMASTER,gM2rVAGUQRUgwhT2msEw1_d4hp1nzBzp30DnI69W3qKjPA,No longer love,684,334,306,0,0,1,0
117,GRANDMASTER,FdCZH8cyw4BxBWx48WYT_NnxfUSC6mSBF6tG8fynn3xoeTGRClqxhp9p1Q,Babyy1,701,103,58,0,0,0,0
118,GRANDMASTER,yU6yMR8c9RURxqiTO8LjA1xZ_R-Zj_8byCa0SyL4p5PnEDM,규 보 리,839,176,141,0,0,0,0
119,GRANDMASTER,N5m-6UobSZH71FJ8lFd_QSmTe-qBjXhiWhGkduJoxNCpQODxouDDGD07sQ,BRO DDoiV,722,906,877,1,0,0,1
120,GRANDMASTER,2m-w-t3yt4k01gtMB_fm-wYVqXDPDMdTPVXSu7QtoBfRElY,박슬온,673,230,198,1,0,0,0
121,GRANDMASTER,nBCAqL3ey55mOHwLFYDFkqVAdGojOjVTH2aXaj-RkymA_sYtyhR2_etPcg,realman1v1solo,862,225,166,0,0,0,0
122,GRANDMASTER,CP1KTb20ZMiIB-Oo4D7qQgl7TsxAeR3y_qdqhvSTKQDbiRjtBPtHIoxnVQ,지응성,720,285,250,0,0,0,0
123,GRANDMASTER,kqiPx6D6GqO2N5-mJqzDSp9dsKJuoRzJ7lLkv9MdCK5_-z4,오태경,832,186,150,0,0,0,1
124,GRANDMASTER,pkAgqIH0EDmp3YpmTKIH-ZDNPZOitj8RNZM13Bp8NnazNg,침착한 대처,746,550,519,1,0,0,0
125,GRANDMASTER,5KhV-MJ95v0cZD9A1sTk8AOrIwdEBcWWa87yvTuCAEYps7c,최유진 멍청이,760,100,66,0,0,0,1
126,GRANDMASTER,c4esOKl9zxugIW65fqrWXzspmjP5xM2Q0stTsGc310tcRaWAu3QmtJnlIA,88888888885,900,269,228,0,0,1,0
127,GRANDMASTER,Bfs_7kXPSoNqr9bR6BaO422RHR7E-_2A0Jm9QEfhZ_UmL8s,X1ng,644,242,221,1,0,0,0
128,GRANDMASTER,3yTXHByUklQ9UNytb9xHIotRMbhPsnWhC1T4J1pnL1hh4XveZGHsxFuCnw,rengking,762,152,120,0,0,0,0
129,GRANDMASTER,HkdG06Y3eB5LZYAou9ZBZcXIXO7gux5mMChPuEZ0OM5kP8Y,우니가왜우니,883,281,240,0,0,0,0
130,GRANDMASTER,1a45CJwdsoUgzn3DPh6oyw_WZGwMnJ650cSN5cH--m_nDQ,명치에팔콘펀치꽂는이도윤,744,284,260,0,0,0,0
131,GRANDMASTER,vgf49yLei82WoKYguTKnINTrlls4A0E3jjNeNnHfN3048wc,승 핵,825,157,117,0,0,0,0
132,GRANDMASTER,Tb0babpr-8N_8280OfMVv9cn2uNxYKr_kvUEI3f79zNhf3Y,anirat,662,318,277,1,0,0,0
133,GRANDMASTER,cFDXjDp5qqJcr7eEO23lsIf4TEJzr3JBCUBs8EaEamNB29BFON9yF1x-3Q,yiyibaby,655,254,191,0,0,1,0
134,GRANDMASTER,zjwYxNapGcOdETtAc8igqcs-s7YMSiYjLEroIu0yeBbehJ5PrkaAPP2fTA,뚱 뱝,768,115,85,0,0,0,0
135,GRANDMASTER,aCgnhx-As8dzcRwAZDSx1XFTLnbAGS7hnbzjFi0G0Tz_a_g,아메르 페이퍼,617,208,176,0,0,0,0
136,GRANDMASTER,Ue5GBNsHJucgTmxGTApmrQioafbs-6O_dTy048oy8-QZRdGsmoZC9sFJvA,RRRRAAAA,612,152,128,0,0,1,1
137,GRANDMASTER,NAl0qxiRX6Ngi1k1cnHAmVK1h_6jKtabwhZSeraWw9naGTZJPdiCeMlmhA,Greeeeed,702,84,41,0,0,0,0
138,GRANDMASTER,qjm7jJyGACXOpMBrgifW1Lo0dMfy4Q5A0gcB5dgWTad3URc,문영화,749,261,222,0,0,0,0
139,GRANDMASTER,IIN2jAY1Mw1VU8RKuXgO2pf0snLAA390FDkAsMYFJWaWKCi0trwo6xyq8A,djwioqdjaslkd,723,211,178,0,0,1,0
140,GRANDMASTER,1QRiz23085ytdd5KV6-NNqxShwrPltkBPouFx4tLzrAf-cyGwMfU3n1bbg,asgfsdgbdfv,610,285,240,1,0,0,0
141,GRANDMASTER,XfGTNsiaX0mh6jce0PVd1ZF2BQLsTl-0tle5c3Kfw0l6prc,kismets,719,304,284,0,0,1,0
142,GRANDMASTER,qrE2ASdild10Xt5gyQQDIk88qujCDRf0FGhh1xeMAfwi0ByYg5yevdkpDA,유령 건,654,220,187,0,0,0,0
143,GRANDMASTER,IRiyklWkXCX4Qjbo1m-ZL9O055KtGpNqkX9BtpX8Yzm7qww,Zereal,661,253,226,0,0,0,0
144,GRANDMASTER,SxX10J6-cT4oc_ZLEzqj-DbRM0UciL48vld_VavhamGq3J1zinzbwlQyZw,메가커피미꾸라지,666,503,465,0,0,0,1
145,GRANDMASTER,RSq4VW5JUxlzx19NCamav6pvboawYsMe59ehLE6AlRjoAw,beiguoxia,708,282,239,0,0,0,0
146,GRANDMASTER,bLUbGrEWOSqmLpn3uDAvjfXXteaY11_yVRV06azYeK-qG86_LDWrWlQi_g,dhyuck1,627,241,224,0,0,1,1
147,GRANDMASTER,6dHTLrKYU0CTLc35DZ0ZneejCsb_57GZuDQbPh5BGNP-JqQ,꺾인 마음,704,176,140,0,0,0,1
148,GRANDMASTER,vba7S-szjsKuCmeyzGwh7U2cxmf1BUCV222hi0eHrmaU053Gkh2rGCj_iQ,238000,804,353,320,1,0,0,0
149,GRANDMASTER,Ww7attZS2GDHDgPK-48w7o__6992W7LeVIrI8vG0_tvi8rYcW3mDN0jvfw,제주도산 숟가락,700,465,435,0,0,1,0
150,GRANDMASTER,KNB9Hs2iHiHrQrX6AuJjSMTlEoH-RHxKIddHWKs8fXbbLmo,하준상,836,191,157,0,0,0,1
151,GRANDMASTER,ot8ZX4jFNjGKBSYlJxcFDVhQm1aUfJgiI583C4maRFXQB34,asdpoas,681,242,217,1,0,0,0
152,GRANDMASTER,QnHocMrxroH1qidRVOEvKbF-ABFkN5lfLghzNcejcmaIDA,몽키 D 짱구,664,266,231,0,0,1,1
153,GRANDMASTER,A32_S9XjGsjD1CZs-0aTECmKUSO1ltvBlp4HeH2q7USuJYg,렐복치,687,228,197,0,0,0,0
154,GRANDMASTER,AIu0E2yuh1wjFcwub048NYqC8heqd6-xGdQ9yRen-LOhU48,격기3반쥬지태,844,340,293,0,0,0,0
155,GRANDMASTER,PAPENuuBXLtBlpMKFqV6FkDlytwXC-dLFQQZsjkGoT-KX78,나이스 지렸다,773,351,316,0,0,0,0
156,GRANDMASTER,fsCmRcS2I4kXD9OmPO23iUZ-lHBGBzazZLm7XV2-IQuEb7s,LunaLina,644,621,587,0,0,1,1
157,GRANDMASTER,EfQRuGUf4C9p1onFlBawwkrLnHDYRNiCw1vBEHz6tzeyXw,라 코,756,264,233,0,0,0,0
158,GRANDMASTER,V0Fzq6P_VVNoIHYLxLb5IAwH9O5s5JzhHXuyXDfr1FeKb6Zn9hmjgj40Lw,띰띰한 세상,868,540,495,1,0,1,0
159,GRANDMASTER,C6O7wVU6p28wEYyHQ411Nw_kKsOHx3YnKN0LkmrYljxI9Ow,ToongE,616,423,402,0,0,1,0
160,GRANDMASTER,msXM_KJmp4GphzWOe8AJzV9NQXlSRWpgAxSOpD_XXmnRMH8,잘떠먹여주세요,716,312,274,0,0,0,0
161,GRANDMASTER,VhXWTIV9OwfFGDlVCzmJGbkGjyeBioSv2qONy_kzFneC3SpfLI007ITX7w,유눠니,596,183,152,0,0,1,0
162,GRANDMASTER,q-ihP0JxDJkx5VqOoke1tAnxx4OHTsLGvhTrzN_uAbmAiA,00 OP2,627,244,217,0,0,0,0
163,GRANDMASTER,rzJPHspaKlc8Eoqa0tDdMUooR29A0YjuMRBMX8xzZV-eU6Y,배설자 유롱,684,384,338,0,0,1,0
164,GRANDMASTER,ECn9OIqROdtN3QjXn1Z9vXghoTTGmH-XJ5GgOULEUAnJwRAh,날건들면알지,706,292,266,1,0,0,0
165,GRANDMASTER,RU7bDUW_ScKNMeLNgHaOUqvxUebxLM-LLrJJjw9o6Bw0Zks,Either,731,380,344,0,0,0,0
166,GRANDMASTER,70wUPml2nIq68vgqzjwSBbNQEMJk-0IaTbOOMNeCEabzItXaAD2hkS3NaQ,kygoo,834,273,230,0,0,0,0
167,GRANDMASTER,rXMvpz_8Qn5nQWuA7KV-6viEekMBW1CvVidTU31MnbBBCwoVrRIlX-2DFw,haishangshenghuo,747,269,243,0,0,0,1
168,GRANDMASTER,FCkXHjfKfCgrsvxtffZwMmr_8dyX5cHiHahSvs1S6TVLbFFL9KNVkeyo6g,DuDu111,826,288,244,0,0,0,0
169,GRANDMASTER,s34stO9mx6Cqc-ZKnEN3YrhuvrWpvhsUfalgBI38bcUrgDEf,bot man,648,320,301,0,0,1,0
170,GRANDMASTER,mRRDKWmOXhiPLld5xSLtc9XQPscPDIul3MdXI8bmJiiQQBo,ucal,884,204,174,0,0,1,0
171,GRANDMASTER,b05TAo3HtKRdrBrHKng75-YNY5584KxZOxysZ4CLCaZ0EbE,benetia,622,301,262,0,0,1,0
172,GRANDMASTER,gZHs5WTsYZUmMAUIVoUBl0fyHkk_sv2BpWFISlJKcgOgW1JvOddWOUummQ,Yursan20010522,622,246,232,0,0,1,0
173,GRANDMASTER,PmeJDp1ownCgDSbvsqaz2H1SOjn9c1pQwUQcdsd8psT1q00,daaerok,614,93,60,0,0,1,0
174,GRANDMASTER,uTd1SVZC9ZldOOJiORJwbocYQc3nOsnbUqtB3tG5tFFaNjY,Sanri,706,323,296,0,0,0,1
175,GRANDMASTER,TKvB9MU8bhiOtjbBXjKOu3vzeCXuV4JGfKVmH3OZ9nV0Z6brPAibhJiZbg,ranranbaby,775,318,266,0,0,0,0
176,GRANDMASTER,wfh28r1uKX_PZZ4wKK3TTe-8q3eHOTtqvylO1IzQ4glKawUbIEkD-rJHSg,포소포소,858,220,178,0,0,0,0
177,GRANDMASTER,VUQGjPn2JYxODrrwpaTuOirD453JhiRFuUX2AT4aMxODGg,콕구몽,623,403,375,0,0,0,0
178,GRANDMASTER,T3IdWaR9N-Bn3wL_HGu2rXjmYOQooN_ZEZuPwmVavbSaDQg,준밧드쳐패는놈,809,723,682,0,0,1,0
179,GRANDMASTER,JKhe-AcLX3KnUkektlF0-B8I0dyhOQibwtO-iYvWcMil3pY,원딜 왕자 김준수,566,554,499,0,0,1,0
180,GRANDMASTER,GwHtvDHj4mYxOGVjwMK9ZlJdrL1mKC57cnxGzphTjkzdN1U,ToIanD,758,680,637,1,0,0,0
181,GRANDMASTER,CTITvmugwZRrFsXPeyMeki85QNwUaKwBR_Y7M1d1aRDHhSs,십자말풀이,805,413,382,0,0,0,1
182,GRANDMASTER,pkDsqgTDWEmyuL_-L99WmEqX5rNenzUXbqLXnsNyRweS5HugERpetsBK9Q,daoxinwengu1,876,369,335,0,0,1,0
183,GRANDMASTER,Ja0UYlm_-DpIZEIjc-u-ZHVV0FJD1SSJ73HeEaJaAPq1hFU,markus t,611,146,106,1,0,0,0
184,GRANDMASTER,pK1nYNyG94ntSCiDjlTHRCWaR8WvaB5UM48LlykXJDSyxCs,얌얌얌냠냠얌얌얌,651,186,156,0,0,0,0
185,GRANDMASTER,4J7n4PEfp5gUNdJI1jNUb9wxXrUcY2DRkfewJ98LrIjjivs,qwervzcx,676,372,345,0,0,0,0
186,GRANDMASTER,47MIDOs-UmigbSDKd-1XxoTx4DvnBqmcZ1ADs6AnF9szrInP9jAbvjf65g,좋은 내일을 원합,654,297,244,0,0,1,0
187,GRANDMASTER,YQpLtES-3sFMBWf_0Jcx2IdKxFojGRhnz-bJ7SfjSqSyfpEJMu9heqRoaw,raqo jg acc,697,151,121,0,0,0,0
188,GRANDMASTER,y4qeeAkE_RKYZCYftab2QfuYifwpBb0YR5FR-iwNwUy41ec,나그거한입만주라,719,337,271,0,0,0,0
189,GRANDMASTER,Vomm2dmgSUCTLUI5m4gFzYKTxd9wpOZ6D0L16Q20A77jCaU,Sry Sup Gap ToT,650,146,115,0,0,1,0
190,GRANDMASTER,T0T296ZmddtCb8Y9_YVbHLm-e2vI5ZUEJuf3pLRxqOLGJE0cy1hGYDeKmA,도 스 드,620,107,72,0,0,1,0
191,GRANDMASTER,UP7xrWVsOihdKzUK4HxQ9iT1g1QJ3VXy-CTjUYrFsP2FPGbL2b-z2WCT-A,takumi1,639,345,285,0,0,0,0
192,GRANDMASTER,PFFXatDYV0mZTP08AJU-imoSCdUUPL85jDVpuZ-YaH7OuZc,ENTJ 카시,790,119,85,0,0,0,0
193,GRANDMASTER,5RVZnro-FZaTTSjvEePUZws0_bnm68W6g_UfWAgUslxrgCOg,To Sky,630,215,179,0,0,1,1
194,GRANDMASTER,Vci75md89V5qJYvrTxytsBUgKlH7bvKLZ_jOVqAgdUc2V2I,전상득,852,972,932,0,0,1,0
195,GRANDMASTER,GlXozUmYVMdIWMWhvq2Vzf4-y7mbNexpoR0hyDfGWIGtD3CdxyYhndvVTw,U1tramanT1ga,612,380,335,0,0,1,1
196,GRANDMASTER,auZw9VFhaVi2OsH1U8yhbuwwlcTD11DkgWLtVOeTKUMxywPJ0hECEd4x4Q,손주녁,955,229,191,1,0,0,1
197,GRANDMASTER,-5gh8LtH3pnGc7Z3rRVfCV57eVyaUFQ6fDRp3nGAh-KX8rBGCKOFfvNI_Q,Blaber,610,131,105,0,0,1,0
198,GRANDMASTER,ltc2RGNG-n_m5rx6JXQSjLRpRHwexxtoh7hsSIc63puxAsw,DRX Rascal,698,317,292,0,0,0,0
199,GRANDMASTER,ouuAkuVjrJFWDspRJevjd-agMyhzOCh_pCQ8O51EUSKbwBIimh6IjVIHNA,wxzsr,797,191,149,0,0,1,0
200,GRANDMASTER,ZfcksJwMCGa8ANjjR-JoxkaorXweeLT0yDukX8YDRTPCQnk,kiin,986,150,112,1,0,0,0
201,GRANDMASTER,xjnb5WcM2rYzq0g0F8E5rYu0p4yhL8A2YOJ_HJbla3BvvvNqSNfqSUsbVQ,langmanbusi,754,442,410,1,0,0,0
202,GRANDMASTER,5Mt0Q88Bwr0U3PRgFrWritzdqvguHAs6XpNbQIa4h2YYnn6LtR-8n7d-1w,NS Mihile1,709,169,126,0,0,1,0
203,GRANDMASTER,fKoT4PHXnf4fNFIaRP0sEIor40v0VL0EeHeKjKrvgg540yxlSLCKsTm3PA,CityGirlSyndrome,793,286,255,0,0,1,0
204,GRANDMASTER,spN1ehMzlnFsB4j06HEVaGSiHD5qohPrr0KI1jYf6F4VmSQ,윌럼프,714,620,565,0,0,1,1
205,GRANDMASTER,4V-PVCYaFsuX-wMwM82W3xGjXy_Lb5j4ASir1DXTLVfJXKlc1fKJKe7zIQ,prime kaka,786,132,89,0,0,0,0
206,GRANDMASTER,mo4u4OOnq_EFBH-s96leNyVCyRiLR6svdKANV2wN2BL1LaQ,racerr,913,783,696,1,0,0,0
207,GRANDMASTER,IG17tYx9JRBxKphWXmN6yBoSJswZ10cry_Xr7npssH7wLt4,파워업키트,578,602,578,0,0,1,0
208,GRANDMASTER,o3LENxrh9g4Hn2_-sqWOtBck2g0gOOAnA5WBgzGPUKyI1SY,new number,837,215,159,0,0,0,0
209,GRANDMASTER,lkDhsBNHiRAt-YYpdm6n5Dv_pODmtxYaFjTXwNMGANKX5QU,HLE Lure,714,256,227,0,0,0,0
