,TIER,SUMMONERID,SUMMONERNAME,LEAGUEPOINTS,WINS,LOSSES,VETERAN,INACYIVE,FRESHBLOOD,HOTSTREAK
230,GRANDMASTER,dYQ38XB9b0A2UBIeDKyZoPK62XKMK9Lyw1x4KUGIHOQt1K5YjXpxmN-OhQ,단국 대표 미드,770,252,220,0,0,1,0
231,GRANDMASTER,993XDaC99F2XYlwhXiNeQ0Uhasf0oods2JH04wayrmcTQe9VYl14mVqNTQ,Xanthippe1,696,501,467,0,0,1,0
232,GRANDMASTER,-sl4oa0g3scbwSEkN7LtD1dvkoGIuYlk-h4-j_icr61YFmTwTR8TM1vnQg,kiritoasuua,660,573,546,0,0,1,0
233,GRANDMASTER,sqIfITYDIqDQW4wZg8Smezk5PycObcpY8d_rmx1vCmpQ3Q,메가 토로,615,218,166,0,0,1,0
234,GRANDMASTER,r8KWpqudVzaUwgiyeyoRfpsTxp7DV5oXoY1MN2iBx5HpXCk,우 근,710,97,67,0,0,0,0
235,GRANDMASTER,sVK4iR4WtPo65I5s87ytpHBz-kHxEdkFxBb3eBCgJpCsMJyT6WKE70ntBQ,ye shan,742,199,160,0,0,0,0
236,GRANDMASTER,mcZkb5_Pcfv0BMAQuMd-W8DuJYN5YEoMWOazlG3-UnWJwiHpVg6dABv7dg,디에고페브리즈,877,211,138,0,0,1,0
237,GRANDMASTER,Jc2JtOen5QylHNwpVewJ6x_WV6hFbz57DE5aLtNejuQYrfg,창원맘,629,166,137,0,0,1,0
238,GRANDMASTER,iOTSuOR2Q7CPkrtK49wZhAkjBTqYqo8BTaUmL0EdYNWnyiaeSwNQYX29QQ,berberking,799,324,292,0,0,0,1
239,GRANDMASTER,WHxcZclH_uBgc4Av4D51TqGUwC3G1GzxiXahcMdndgUlxxVBC5BowvFl9g,NEKOA,631,147,89,0,0,0,0
240,GRANDMASTER,S_eJkeYg8jTVFftqfgljKC2a3qBhyt5Z3Vw3tq7okIT28Ck,잭과콩나무진,690,201,171,0,0,1,0
241,GRANDMASTER,9XN1cYzre5hjoT_YYqVSlQKzXmJKFMl4bd30z3qZtSMZyaF5-hadsf-_Uw,Nedios,669,285,252,0,0,1,0
242,GRANDMASTER,Osft0YWT5N59F_puM4jR9mOC_-29gIxcROj4AUVwY4nc2QSFAkMMojC0lw,IAKIL,625,435,410,0,0,0,0
243,GRANDMASTER,8NwkPPQjaa4JqZuoYX7GWXNwjnLmSuw9aXBvb5MJmZhCl209pRm3G1vnlA,요괴 모험,632,328,302,0,0,0,0
244,GRANDMASTER,oINR-6kKdoCt2TAagtC6b-figLONCFlBBtzw3EHuHQMSC9CHwFe3hqPskw,RIvennnnnn,532,469,425,0,0,1,1
245,GRANDMASTER,GOSb7YB5-o472zw651z66DaXEkw9HSPzdMCaXCzF1dN4KURhfWEHGsaZ6Q,futur uncertain,801,182,125,0,0,0,0
246,GRANDMASTER,hRFct89to697aaXQZ2kddXef4NmNlNWdShKgsUlwEI92Ryg,계인직,871,148,96,0,0,0,1
247,GRANDMASTER,3K0LK0nVvWvI7qG1kixgdV6lU0N069k-cHI5UiC985qUkYF_V3gXELKxhA,RoarTHEBEAST,800,359,283,0,0,0,0
248,GRANDMASTER,DDX-h9-wZYTRrHGsUcWD5N-BrV-wKHHhqR_r1Z6UW_VIG0LMf3C7HoFmyA,일산전영찬,628,293,263,1,0,0,0
249,GRANDMASTER,Plds1k4ML6XVaoHrAP2cKvgqDuJz8NQ_BniYSOVS1w1iAb24JYJ6xmx8tA,Carius,771,241,207,0,0,1,0
250,GRANDMASTER,rg3FJTiot92VQbZduHlzU8xvy24YnOj5D7YBm1ovlrLMppU,Kingen,863,184,149,1,0,0,0
251,GRANDMASTER,dne5-kKNz-vdDw5FypHS6ZnXOoH1Bt11AHH_JN10Y8zwgtzS4TpWb6e4Ag,Iove poppy,678,429,399,0,0,1,0
252,GRANDMASTER,0mEZji0kMOHE42Z_8V-xmmC56jAmBuH6-PIZR-a0qIot-vs,사람 안 믿어,614,261,232,0,0,0,0
253,GRANDMASTER,6b1rA14x9QqYHtrEq4SiNC-nzXyaAH4HuV__EfTNF0A5NtKNd25U7lzm_w,mmhgr,792,406,372,0,0,1,0
254,GRANDMASTER,cG80JUlTGueMSNhIui4Wjs9cKmWt2yqCPwO-vtwKswsTBq8,주 목,944,122,84,0,0,0,1
255,GRANDMASTER,AspweYLmkaaER2PEc4C7qNTyrlHuu-tMmU3Dke_nGzJxSO0,DRX B2ryL,969,162,117,0,0,1,0
256,GRANDMASTER,9-3bvIbTRXeI-fWYyX95IfA2nF3eY6WXmFvDlwMObPDg1gc,상식적으로,852,196,165,0,0,1,0
257,GRANDMASTER,R3woTaKJy5N329iOiTrwWS28cy1pWXHm0mxzb2qL0neuPw,우리이판진거같아,646,261,231,0,0,0,0
258,GRANDMASTER,Nq91Wlggmt09SL8Xsd85s32l6pipzsbnXx8OgR2VvO3aJmVlhBIqk_QLrQ,본 듀,734,234,210,0,0,0,0
259,GRANDMASTER,hLDq3jbJ0IAaVxTUMhLs0MZuSCq6fPXIAv_tBTan9vW4Kak2437jyRsGTg,yiyezhiqiu,663,211,145,0,0,0,0
260,GRANDMASTER,8jIGhg_sF1Y9cM1JVx_gikOotg-_HIrmx0IzJ8gcgZJVffU,shiebuyaotian,616,162,129,0,0,1,1
261,GRANDMASTER,Bza1ftkOfBkqNj2x28mf9JeKszCx7dlK9IXLUZUd27OVksk,렁 래,669,80,50,0,0,0,1
262,GRANDMASTER,YvC9IOlSHYXyJwELjbAmSScYd_Uk1x2CBrTInZM3hy1zs_ZBbmKjHsdXdA,Ninefog,799,540,516,0,0,1,0
263,GRANDMASTER,0o3xf_tHRYcw1MfTSBfbWgUs89tZr1kkBdGxUCV3tTVLl0w,Zeri05,626,163,126,0,0,1,0
264,GRANDMASTER,i8-LHkP_Eau0RJLVvuPWbKePO2NEoGg2pD7-QU7wQRH2Ge0,Mr1mportant,776,237,200,0,0,0,0
265,GRANDMASTER,t53nhN_WvDrN6DjhrQhZ2zwnILmDHXloJD40WM5ixOXRdHFCUt7fnbMpUg,현이냠냠,786,92,49,0,0,1,0
266,GRANDMASTER,LhJps5wVdLkSqIjsqKExxEG5IysB5SU4kr0TFpsVkWkR9yM,dfdsfgdsfsdga,704,594,555,1,0,0,0
267,GRANDMASTER,m6HOizNzlINJOY0unzUGLEFJLkgTGfXgsWizF9pj-JYx9FjeYV-E17-ZPQ,Wheeein,660,355,326,0,0,1,1
268,GRANDMASTER,rGGfLY-pwK9iygzNM-gmP4ShX5k8buXi0VQi5jPK8m7246m-hU7bScLufg,JUG Swamp,892,239,193,0,0,1,0
269,GRANDMASTER,5g4wzjIzVGh3X0qhDQv8Hu_SJ6FvuJrFWVTcIidNGn42isE,baby kltty,766,310,282,1,0,0,0
270,GRANDMASTER,GMe3L7YRLGHhPvIssLRGQRLB0o7NwUQX-qU-HOcMhxfOteg,클레드만하는사람,638,359,336,0,0,1,0
271,GRANDMASTER,vUbaWe3VzxBsXgytrc_eyOYiueqdNLQCH-LUaQqbDEBmsA,DEULDEUL,620,149,123,0,0,0,0
272,GRANDMASTER,mv3jOKIh2O-EBjX7caocTRJ1KiLd6cuIhj5H6MyoC-TdJ9ypqedV7ftvGg,RainLove,614,491,454,0,0,1,1
273,GRANDMASTER,-9lEf60-DMYA1hPcyitXXwYXwQa1F49nV7sXcVHCoUJH1Dhh5KFc5CKbUA,jusaka,564,255,233,0,0,1,0
274,GRANDMASTER,0xjG-d7QmGrv3mYZNTARa6qCBMuFEQpdA0GLoFI262gk8zg,cs라도잘먹자,795,274,245,0,0,0,0
275,GRANDMASTER,RP_kbY6XR9ZO_AEuOCvGSi4ucJVzY7g3mvbdF6eZ-CIJe8E,파워에이드선도자,628,156,121,1,0,0,0
276,GRANDMASTER,3-try3VnSRno07H4NQ1PKjKdKwUBmutEVPJha_L5h4KykE8,용찌빵,850,96,49,0,0,0,1
277,GRANDMASTER,vptmvmBPsy0HWkKlpJsG5vZMuT88M3Rr7GQzK7Jj3mzJpiH-XRCzKq827A,khong the say,633,333,271,0,0,1,1
278,GRANDMASTER,8Hlb0e8hVf8s9TSc0OOYO9sIBGZtKEwGfId2KBTxaCPmWpYsm5tvdxgmwQ,죽여봤자 더 쎄짐,615,710,677,0,0,0,0
279,GRANDMASTER,DUts4eT6ybeEJqmAmUoQf-Zabv-rWeg_9bSREKOtTnO-jFc,Charlie2,756,159,132,0,0,0,0
280,GRANDMASTER,Cf2KufT3LpstX2XVB9hzYD4yPlRen5ukcuJQqZJU6_UIrw,Gukzomdao,679,99,63,0,0,0,0
281,GRANDMASTER,KEnoDIYekCVP3cD_u2AzMFXVosbK3rV72bclpw6VTMo2zO0,징징이는징징징징,865,256,224,0,0,1,0
282,GRANDMASTER,RAI-0RuQnM2eoLICevTKLvjt6bIoaQFi5N4DLJtni108XYI,불멸의무빙,660,102,72,0,0,0,0
283,GRANDMASTER,cQM8QskIexRRjb8dNeBwT8ov3X1hoP271fzxLYk1KIqh1dOD9l5kcDrCRA,9474500519827645,630,156,126,1,0,0,0
284,GRANDMASTER,yd99w6TkOUD66ijrniNdAgZqhHbXvenJcpGJR995F89K57n6nwb7hWQZew,온 재,796,569,538,0,0,0,0
285,GRANDMASTER,vfKgnjspi_M5RlOq7T5NouMI7fao7UKmscSy1QUZiZ9e6w,Letecose,660,151,121,0,0,0,0
286,GRANDMASTER,2oFZSTnSayN9NTtTwt1QUa0x5r6zMITBeDr0FVI6zJ_oPl4,조고마한 달기,747,152,126,0,0,0,0
287,GRANDMASTER,ueqqTZZ_xnLxcgWPiBmrwfnG38qOkTGKqzb8o1ZcPiwrrrM,씹덕해체분석기,624,51,26,0,0,1,1
288,GRANDMASTER,beNp7JJBDoTLy3nLHY4wJQoBf7xyMckJ_anUOLcVRs085Q,천천히하는사람1,627,178,144,0,0,1,1
289,GRANDMASTER,z77dxdpX1XOU1qR7zJasblTXP9dSEnbgQAuJgALd5UKe7sY,피들서폿누가함,672,303,262,1,0,0,0
290,GRANDMASTER,AK5INYsjONseK0PiO0z_8OWiEriaTBEpz6S44lUXgxnXig,까누리,638,208,185,0,0,1,1
291,GRANDMASTER,YkZa5kC9-ISgPQDb68T83hBSdAxdXzmGrAZPdM-0OigxRcs,현민이누나사랑해,626,174,135,0,0,0,0
292,GRANDMASTER,9u9WPrvaFzU1eIiutTDFT0YH6BQxo899Gp50QARlAjcWSQ,순규박,741,410,381,0,0,0,0
293,GRANDMASTER,GwV1dm-581x-x64xfNI1wwcKpdb1kl0uGNxdUWwdZbsHpZY,선제공격 카르마,737,371,338,0,0,0,0
294,GRANDMASTER,W4hBmVZJ4Ubj9-kU4-TGZMiNR3PwtOWsonf6dwVJEEAZ9qk,유렉이,644,236,201,0,0,0,0
295,GRANDMASTER,TJTwNiBc9-c5D985NfNAGqgXItTpIEC98U8LNeQFh2ZicNs-fcadpCQpJg,poosyboylike풍자,616,226,194,0,0,0,0
296,GRANDMASTER,x7o6hHudZ1EWph2rum5t0FuPbD0W4uJqW8DQPUT3syaFv2EzKyp-3Mvrqg,미안해하지마자기,753,278,247,0,0,1,1
297,GRANDMASTER,UIurUvtm5Ycn_yAHsbnRxCLT98GxjitGSUZKdPnXGMVT1QI,NS Calix,832,677,646,0,0,1,0
298,GRANDMASTER,XbwZiUSRgftGpTpvaGjPxkYs7Y2SFLx5WItUcY6go7nTamM,못하면조용하장,639,225,174,0,0,0,0
299,GRANDMASTER,FA-Rd-3BbdvJFs2AP-t6zG1zQdPoTdXW1UpYSrqTYHPMpw,다훈갓은 죽었어,732,262,239,0,0,0,0
300,GRANDMASTER,Isz1vaPuP816GiByF2m7QN6SCXEML-8UDA-kD5BRu6NDLloH,상처꽃,792,136,100,0,0,0,1
301,GRANDMASTER,JZQ-l4Rwk3P8EA2B_EO2bF4x5gb_CBG98QExHnGCQhFvmBDfbAJUjjfRzQ,막강주니,859,633,588,0,0,1,0
302,GRANDMASTER,oRG1jDPZn5oSgX60LRXluyoSB8pm65VWw_626IVo9NunvxtiEBQICAt9gQ,Xiang Jian Ni,746,310,280,0,0,1,0
303,GRANDMASTER,enV0ZPg-cP_S2jC3jabA8oglFny6Hyg-AWmy3DJ9YCHUa7SiNuPby2Lq_A,ting lao ba,718,313,254,1,0,0,0
304,GRANDMASTER,qwcVObKURE3LJIApuzzfqYw8ZjksGC5S9ni-kmDqLrhg5o4,포지셔닝장인,676,109,83,0,0,1,0
305,GRANDMASTER,fxCIbcK0wfBbHbKSRcYART0mCsIUcRH2qO2fskrq7Q28jJs,점수 약탈꾼,668,177,153,1,0,0,0
306,GRANDMASTER,3L2f7AZhVImu-o1xfh9DUy0ToL7NUuHhAYCjGvM3LTw5kk4nBmwBVF72wQ,qwerrqq,678,168,115,0,0,0,0
307,GRANDMASTER,GFU7iN7wZ5YtrHdV2OD5YvQdwEVhHWlyxfh8O2YR784AZnFt6nf3pbyqKg,tylooshen,858,407,373,1,0,0,1
308,GRANDMASTER,JrQrtNNng8DADCGelLtTaogNppVWuAkD8hhhc-dq_19qVe97tOo-QCrC9Q,벌써1825일째,682,105,75,0,0,0,0
309,GRANDMASTER,ctHHBjiE9Dn_urNn-Ant9xGgDLMNPLGzKVAFB7Mptx5jTsk,아이사카 타이가,612,369,340,0,0,1,0
310,GRANDMASTER,mFY0tht_Yn9WYttTS_5cjfWR50nBbFQfVl_ndDCzF6CvJ9s,oqqad,657,273,239,0,0,0,0
311,GRANDMASTER,H5H9Qz-Jq6KoNvuQ_HrcXiEHxBmXRzTPzMGzgMV9SsCUgVMmshOAuQQbxw,반해쪄,718,376,343,0,0,1,0
312,GRANDMASTER,ZLpz-5Jpg9to3eHJZ74T8KGbvEnBWoUR8FaLj7m9gYQcI07k1Njway0u4Q,yezee,790,218,154,0,0,1,0
313,GRANDMASTER,zr5pnTLs_LzivW4slrMtFNjVZxSXx86UlokHFxUorZAi9A,봇버프까지숨참음,614,136,102,0,0,0,0
314,GRANDMASTER,njccsMj8e6Cb7boInp4DQlNYEVk66dBuvsayG3Antc2XWMD9J6Lsr9dFlQ,장쯔밍,636,285,251,0,0,1,0
315,GRANDMASTER,X6VGlPpEGvuldEkW_e_5nxXwnk-z0U0grfXcadIJm0W7TBw,벽느낀사람,625,723,679,0,0,1,1
316,GRANDMASTER,JYNigRMNjKXaweno6-ViHk9u5J_gHPn1Kpy-0i5dKrTihPVSovb0JyQHjg,swordart7,831,364,325,0,0,1,0
317,GRANDMASTER,JWoFi7_QoDwXfEz8zGbMwr4prwWqZHI0NKXYtpvkx0uk_Vy5v7ndfExXkw,sooyoung,736,136,98,0,0,1,0
318,GRANDMASTER,Y8JmlNq6o7FXwjY_Y774UaHwjD1wBszqe3lsbv4aLNeITEwoW_rYbL_2iQ,강호에 은거하다,721,317,255,0,0,1,0
319,GRANDMASTER,k_oolswp8Q9SIe9S3THFzqhjIRMrwCRkH_5YfbAVCpZlnywg,mei shu chu,822,322,292,0,0,0,0
320,GRANDMASTER,Tz_O5kj7ZQG7-y1tvqUXogOc9h_K55M1860Mm8iLGKq7DQWSl6ZnHLaPTg,xiaogaozi9,818,621,586,1,0,0,0
321,GRANDMASTER,HN5oDNP5b6VJgvGSO3qsoCdlCM503APIUKA3x_P9oiPhxRk,qadfer,639,113,70,0,0,1,0
322,GRANDMASTER,g1tAvhyw4qyRyq2L45sZ4Uc7qn271VYif6HGgbK-TWUCODPeIVyY5-rDCg,Takey99,678,228,169,0,0,1,0
323,GRANDMASTER,dyph4O_Wn1R2PE9MxguwIfQUF6ZUrVfvZYlFwsj7F_fPaw,장민수,613,107,75,0,0,1,0
324,GRANDMASTER,jGsDGChq-ER1od7g66axMXwmfseBSpRjh9J-DKkoi-jU7Cg,사고뭉치 원딜,664,229,203,0,0,0,1
325,GRANDMASTER,YS7K_D7iiyW7rk8ZZVSIRLIJbXofa9TJmzWpMkT81wBV7us,고라니 사냥꾼2,703,421,391,0,0,1,1
326,GRANDMASTER,H4Ef1tNkH4U8Wj65j1_JiNT2DCtGrX1cA3UTquBiBIIJRAUNiJT5UQllNg,Rough,951,388,338,0,0,1,1
327,GRANDMASTER,syRyyTNLmSJ-5QBrwUFekHmWjqQDquoXHwRVCXXVisduleE,NS Mihile,856,296,266,0,0,1,1
328,GRANDMASTER,8ak0blV-o9kF8Ito3PbgPEEIWg7C3T1DdiD37BaZEzTgG1E,DWG Ghost,756,282,238,0,0,0,0
329,GRANDMASTER,T5-EYS2D46XxnFE9sY7c_Evo6PTnT_jZ8ikP0-lnOtw8tc-o4MEAc4_7UQ,hmxtt,712,114,78,0,0,1,1
330,GRANDMASTER,ypfLfzQZIFfydiNz9RKcAoG6RYbHw9PwXdi1sMb0IerNmvSMrZ0Hn9OvmQ,i kid,706,409,380,0,0,1,0
331,GRANDMASTER,LVg53sUnj9HlZ9PNkjj6Z5pKqSfr_-Yjsgitlq2hB6W6LMJJRTmX7TMxUg,neso,762,273,233,0,0,1,0
332,GRANDMASTER,bvvJGkA-W6a2vypMQpt3gT9VHGSBjpce_IqICEoLjoI4nEI,스눈이,618,192,160,1,0,0,0
333,GRANDMASTER,LLe_pHVQiRcle_oDU2QiG2VHywewU4szCfNi3g3nzSlNr7Y5-tPuMc5pBg,Epilogue for you,498,806,792,1,0,0,0
334,GRANDMASTER,OZsolDO_MPw36Np8IAutzccKU2eoXThteFrGEz7ApFWW6FU,헤이스트,743,432,396,1,0,0,0
335,GRANDMASTER,mDaITqewLRm6y1ghNlXjqpGh6W0NmWD0z_Dp2J1L712oeQgGsH1J1a-FaA,HLE Pooh,860,477,438,0,0,1,0
336,GRANDMASTER,qCtNUulzQYtXpk_XAb78CH_-VuQrKy9fmUX7OOiRlk4E_WE,99babyy,634,240,132,0,0,0,0
337,GRANDMASTER,ABv_0hiLy8X1bX_9nSqpLUqJ7FYvKSAd4a8fwvGSUPgiXA,강한행운형,722,404,368,0,0,0,0
338,GRANDMASTER,RxiHv_f55IRWB8fgt-MI3GkaMyllmppWM-HSBtNkPWEV4AU,2020년8월,740,322,292,0,0,0,0
339,GRANDMASTER,6Pf8hx3-Y9meSGByQPthgC5zQYI32GobAArN3U09bE-TmrQLdOD7kTezhw,BROWNZZ,550,193,143,0,0,1,0
340,GRANDMASTER,qPUd9ft6_sV2CEvDDSdOE70RQRAz5Jzh1OJWLN9p7mnL3DkRQjNVu4P9tw,golden hour3,646,293,265,1,0,0,0
341,GRANDMASTER,MXq1Loq9H2vZWVZfAgoBoFp1hkXDihmVcstJIHUxh-PYUZU,토로가오,635,313,285,0,0,0,1
342,GRANDMASTER,seASikNu432SGy-rCtY_NWaaXzannZrk6MkfQvBM3-wD2sAy_cKJK8o8JQ,인별 happyl0l,590,220,201,0,0,1,0
343,GRANDMASTER,o6Dd8TcRfPdp-AbEyEEyY2rvqolCzCq6zc7cAz2QVMLWE7nyVbA25KvGQA,Daomeigui,750,643,615,0,0,1,0
344,GRANDMASTER,452PQ2PSdFzMYMkIT4zdV2uXdLIQLThQsQYZJ4PqD9zv9JmcmDgnNTiQrg,Enndme,711,263,233,0,0,0,1
345,GRANDMASTER,E_27jGm7Dj6MTcyAQgpxlE5-LZr0rFNGVwpuexm4ky5Z6lk,IlIlIlIIlllllIII,644,113,81,0,0,0,0
346,GRANDMASTER,NDcpl3xIMkbm6iHuMOvNUL2yfnoQYItKDYoflkXNqyawhw,생배는사회악,702,261,244,0,0,1,1
347,GRANDMASTER,fbMopNocikp_PAEjlPzuJNGlvtrTIw_vIDAYig3nSSRAzP7YpmT4Qobe-w,kongba1,786,616,577,0,0,1,0
348,GRANDMASTER,quE_Cy_NBLaxkK90iqZ-la6T5Ub9C595BQ16BXrj0-eiJNCmxVXYNTH_SA,qzedujlp,772,405,378,0,0,1,0
349,GRANDMASTER,iH5dRFE57QE6qKo2Gt9wVHmgBCPzZFc6g6aQLBHOAIVdsA,용사 박복찬,633,221,181,0,0,1,1
350,GRANDMASTER,s2_tOs4JAr7vAZWTobT4UocBWEAsLewn0WeJm6BD94Bu07s,히냐앙,643,92,64,0,0,0,0
351,GRANDMASTER,2INb2vgb0AcuFXipHpmcakdgUJuwz4bSJPO-mUMti1Orpt4,최강산왕에이긴다,669,234,205,0,0,0,0
352,GRANDMASTER,B2GyHGH8DoRY5-QTvHv_sYcou5367NRdZeqXaajoYhhlNjU,편 주,682,175,144,0,0,0,1
353,GRANDMASTER,SWBpWPq5x8n82N25BuhxbM5bCKDiaP3OWXdWp7p_hSmoo8k,Ygret,628,209,159,0,0,1,0
354,GRANDMASTER,98kCMyk3ebemz1bPf3EbzypnBiZ0H9LfN8slbzBsJYcroVuSu7HqVmqVpg,Nowaynowayknow,680,118,90,0,0,0,0
355,GRANDMASTER,UEBFdGGbDDw3DAKzbX7v9-ETv6ZB_qyt7pxw0WBGuBlxtu8,kfo,687,834,800,0,0,1,0
356,GRANDMASTER,tmgAPYG5WXmf8VOLGg6TNeddgucVKvYeh78Paah0L8OmuB8,어린이정식돈까스,574,321,291,0,0,1,0
357,GRANDMASTER,lsmZKlyB_By-SYkjfGXWQ2pkTiyExuBK7LpN88O2phaCy9n6QaQo4d3iEQ,yoon0414,860,130,76,0,0,1,0
358,GRANDMASTER,5ZOIgmR4A_mbadXua-v066Gy87g5zeZujjWKAbCvNqgmvTE,주희너무예뻐요,862,128,75,0,0,1,0
359,GRANDMASTER,zDlEALKyATi7u-BJucQeyeaRD0rX84u74LadZ9NCbAYrFw9ShLlWKer7NA,71newda,762,474,410,0,0,0,1
360,GRANDMASTER,DY6DRbuWBHIVfZSn8YM31ulsxub-EylnaFwx7XQgVAs7D28VAv3C3_3hWg,Nennek,626,185,156,0,0,0,0
361,GRANDMASTER,b048Yuh5zjvc9OFIZAunE849CqnzbVi8531LBCDqg4wUdAnkx7eU-bCVFQ,N1ka,666,122,78,0,0,0,0
362,GRANDMASTER,4sFiuydOnCo7VF1_-191R-oWjYObzg8WcS6BDF8ai9Lb88RYO4dU6i9gig,차오꿀1,832,542,510,0,0,0,0
363,GRANDMASTER,aZbmprF1ZmhXuhPh4lrotu0viA75Gj_KZLyXsaeDjy6tYlk,상랑해,617,251,228,0,0,0,1
364,GRANDMASTER,hfwx_TaU1CVpUv0AtAoyYMqSqSP9q23SyG6us3CSnnx6SZY,전령무새,739,143,111,0,0,0,0
365,GRANDMASTER,U7U59a3teysfMoRBvFPVQH91BbxJXDAlO_L90RWZ9gM1sDo,JHJHJHJ1,747,240,211,0,0,0,0
366,GRANDMASTER,MvQkbUJQFp5xllwGWBqabAtD91kSNbCLpoDErzdg8EfT1dlZ2AM7n60DkA,fi23aa3,651,336,309,0,0,0,0
367,GRANDMASTER,vStypZoUzVM5W9nYhaoMhxDe29t9gSoO620fV8jd0EcKIxQ,맑 닭,804,143,95,0,0,1,0
368,GRANDMASTER,P0jXBcnC4VjPjcG2sGWITCNIpnbZqk95Zv4Sfxc_BjE9g0k,NS Sounda,715,209,174,0,0,1,0
369,GRANDMASTER,tlICX-YyYCxAWwKDgjr0tQsXXE5sh8SIZzWQQfbHmT2tFf8,핑핑울어요,614,255,228,0,0,1,0
370,GRANDMASTER,lqOpQLA0ntQ6y8JPfDXEI2L8V0lwm7k1TYDl5h4l2qycnKoUjT-wihCqjQ,XiaodeLanhu,635,341,285,0,0,1,1
371,GRANDMASTER,d8ffswz83mUC75Ei6_-q2pnS3lLq3ayBDFTjgA3l9_7MtISHdc19tnA5Eg,우연히 길을 걷다,889,154,125,0,0,0,1
372,GRANDMASTER,9gZFYaDZXruZtSG1LLc7IUnizqko81oFWCw-vTIW7WCxQbrN0H4ZHfR2Qw,pppxxx,892,266,216,0,0,1,0
373,GRANDMASTER,xPRCAG7f56Jk85uZEFWtkeE8pgoas4yPA26fTxuXT7h72XbvhvV2sRrWMQ,이서코,786,214,157,0,0,1,1
374,GRANDMASTER,qso24ldJMIt6CTQPjMp5urt2rLPNsz_Yfrr48enkkWRtaLI,박해밀,575,360,328,0,0,1,0
375,GRANDMASTER,Is0zzOeifIw3UYnoSh1f9wujlssX8lP2DmEixhuL5NjSFps,꼬집어,860,531,487,0,0,1,0
376,GRANDMASTER,QSJ0Mtei9wLynm-QttfnqvnGeIJWVzIwGWDXBEnkqbru9DE,빵사와인직아,686,359,317,0,0,0,0
377,GRANDMASTER,Birbo532qSN3IbXkmGUziqKm9NW7ew9F4Dg3J_Ok8z1YybI,태기베어,854,118,81,1,0,0,0
378,GRANDMASTER,IoTRbtqsaRhhq1_ttXjg8NEauo7_xMThFsfVJw7Rv_Te2s8uZe0_B1eFdQ,xi1,839,461,427,1,0,0,1
379,GRANDMASTER,Ed_coc8ZmNsLUrPSIb8ELj2YXUWB8MIKTAORpMIgSdKgqR64B9UZfVGuEA,BLG Bin fan,720,647,604,0,0,1,1
380,GRANDMASTER,n7xIKSMikeby5GCxaH911VMBaryeVravWLG27Q8Hno7psQ,통통초이,823,233,191,0,0,0,1
381,GRANDMASTER,DYAZmdSZF6-f2AAY6lGyuGGhdpkzeGwtobSoKl9FYqj9wUscer4mzPJGoQ,scyscy0304,644,563,545,0,0,0,1
382,GRANDMASTER,jCnEclnFXe-6DdE3C81gshzycRnCgVIj3O_qQMH602lzltXqgitmEY_5mg,현실에서벗어나다,791,208,151,1,0,0,0
383,GRANDMASTER,TLh0gLJ_VXL4g8ijH31ThUdLB9vQmJ6OyHamafYqJaeUdHg,slow walker1,778,411,384,0,0,1,0
384,GRANDMASTER,QaD_bmqWiUIN-K1UyYXj4K50_ZK5dk8DXvpSA4tCKVtPnTzzRb4_MkBkxg,baochiqianxun,880,161,120,0,0,0,0
385,GRANDMASTER,L7mwftf4wQUsLrqa6tppZg7-ikmeyt2dydi3eVxZVFzoJgo,판다의대나무먹방,796,439,400,0,0,0,0
386,GRANDMASTER,JTS--vH7Zxn2iyd3osn6SDFduC3HXwrbXoGGI0Q1UzgxjIQ,KWANGDONG,777,316,289,0,0,1,0
387,GRANDMASTER,VUSIQ5rOa2sC79zZ41En7Cd0tOx0IZtRoyAz0IIug_Sd38A,FA Kingdom,686,773,745,0,0,1,0
388,GRANDMASTER,krjvEwGhltTPO85zQkMSaFypAQzBg084umTrivT71UEbJQ,기묘기묘,739,333,310,0,0,0,0
389,GRANDMASTER,rfNsVjn-w8Vzd5RZEHAxGSgf7ye2yp03Y4uZau_4xmoL8Yw_1I-VMCaE4g,먼훗날돌아올계정,627,236,210,0,0,1,1
390,GRANDMASTER,fsG3RuDAob2NlL4B4zA6mHgyaY4euS_Fonnx52hukyws2w,리그오브레전드ll,654,278,248,0,0,0,0
391,GRANDMASTER,mDuQLecUiwcJVA-vZgNHHNmjbjEIm_5PhSvbetbBG6CPSos,나 죽,832,185,164,0,0,0,0
392,GRANDMASTER,Q9rBliD8fU_maGlKCW1GZ783JM_DElqhwJuHsH9sgCeugOo4SS6kaOeXcw,작은 장난꾸러기,642,237,180,1,0,0,0
393,GRANDMASTER,KupNieznZnXIJsGNcG1QoT8NMKOWjCnVt3fY2GtR9BEpl9U,NS HH,866,354,320,0,0,0,0
394,GRANDMASTER,juJ2rn8M7fV8mbJSY-NqDeAoSbL2iA6svcRZ-yFJ08X6bTIaokBedY6dkA,youtube 광젠,626,164,131,0,0,1,0
395,GRANDMASTER,I3f6Qtolthn20vSt-0ZQ7F_XvYrEXhcDAcepeZIkJjWHAIk,Yeoubi,625,221,197,0,0,1,1
396,GRANDMASTER,-JJbQAe8idKWO2qTgnA2YJcp8990oinJR0MUGT0FsoGolrR7ix_79Xxayg,Cliyrd,815,132,68,0,0,0,0
397,GRANDMASTER,jBXMkCTV3fm6mVszvsggxfILqbkGhKqB3WqUcKZl_DL8Hrqk00d3tc1JXA,chen mo de ren,669,453,423,1,0,0,0
